index;long;lat
0.042341787;511020.2;5035139
0.233348931;512281.992;5033161.088
1.419507206;513006.141;5034046.519
1.716106154;514948.6;5035747
0.000787987;510260.2;5036881
0.255132161;516285.9;5038379
0.741013884;509396.5;5035493
0.08644345;511552;5032847
1.24737081;516129.1;5035533
0.043470378;516350.8;5032231
0.00570001;507426.1;5034035
1.7026;513299.8;5034923
0.32066115;512128.8;5032462
2.523626343;515863.9838;5035240.267
0.79405313;517347;5033798
0.023643507;512549.7;5031648
0.358054035;511091.9;5034819
0.018419295;513209.7997;5040853.337
2.710139211;514293.9;5034052
0.334223746;512851.1655;5033947.969
0.000267795;508480.1;5034254
1.864756443;516337.4;5035836
0.010162573;513544.4;5040087
0.064228536;512207.8;5032093
0.573439919;513703.6;5032704
0.728518733;517005.8;5037405
0.114421242;511330.1;5031601
0.032392529;510592.9;5036216
0.175596543;511019.3;5035639
0.207317132;515901.1;5037886
0.083673401;512873.825;5035217.73
0.73381667;511581.2814;5035711.573
0.22699364;516882.3;5032293
3.113858369;516033.8709;5034613.61
2.928908347;513686.8697;5033709.164
0.027951888;513076.5;5029882
2.160297567;515305.7113;5033611.422
0.794274409;513490.2;5035032
0.061894949;518347.3;5037443
0.014746441;513278.2941;5039977.796
0.597535518;515306.1;5040132
4.516862067;514534.5588;5034671.8
1.49965084;514638.8577;5036524.21
0.347038452;518626;5038455
0.013105415;509275.3;5033724
0.120820857;515390.5;5039029
1.109149905;515158.8879;5036013.04
0.045491265;512214.7;5031498
0.803111525;511555.1287;5035685.961
0.25821338;517689.1;5039524
0.619456925;511599.3481;5035705.418
1.653273829;515322.8912;5034104.523
0.093195346;518126.5;5035481
1.267585142;513799.0042;5036172.741
1.366191708;513054.3;5033513
0.076922234;513361.1;5029007
0.048447781;507408.5;5034289
1.67589188;513730.1;5034534
0.175251986;516522.1754;5032854.943
0.756563645;516999.5537;5040114.507
0.567556527;514180.4;5032844
0.175779538;513091.513;5036025.211
3.17195966;514810.4754;5035942.629
0.100619144;512882.6;5038429
0.077428138;511683.2522;5037311.583
0.819268596;513408.9043;5033912.183
0.325735538;511081;5032350
2.244137594;514236.87;5033980.918
1.043095414;513536.8;5031611
3.390381729;514517.178;5035075.497
2.225676207;512127.1;5034508
0.877517175;518010.3;5034227
4.926341855;514355.1;5034942
0.63872927;516032.9519;5033150.283
0.004455884;510855.4;5034388
0.385547506;516070.1279;5033023.872
0.002803089;519275.7;5037506
0.000139319;508447.9;5034368
0.190440378;514280.5;5031762
0.010012656;511224.5;5036818
0.248499486;516127.5;5040114
3.894831615;512536.7809;5036364.67
0.740364763;517548.5;5037234
0.000794401;509367.1;5037528
4.988586541;516062.5;5035048
0.00497701;510533.8612;5039844.636
0.011390089;509313.2;5033718
0.051838833;515481.0017;5040697.94
1.532279358;515850.8;5037256
0.369078595;510831.9;5032191
0.239481703;517112.3903;5036339.475
0.305383598;512210.5395;5036961.574
1.417664944;513818;5033947
6.636500992;514758.1418;5034993.625
0.036753077;515944;5039525
0.472150149;517194.8;5035104
0.02137748;517961.6;5034892
0.135725622;511354.1;5035025
3.726667287;514074.9;5033936
0.462631985;516783.5;5036468
3.472524364;514108.5;5033966
1.017752809;509114.1;5038045
0.221935283;511539.1;5037354
0.644133356;513487.8779;5033081.582
1.24852374;517260.6;5032804
0.452787897;513415.3;5037196
0.287795545;512707.4478;5032841.809
1.616910845;514009.4532;5034435.226
0.143027119;511207.9;5035070
0.661983574;518302.3;5036850
0.43666164;513467.6;5031178
0.00012585;510216.4;5039435
0.064062043;512868.9544;5038569.769
0.064160925;517702.2;5034835
0.001464212;509662.5;5033717
0.068287138;513046.8236;5032454.589
2.570261676;513578.3;5034532
0.84247354;516765.4;5037085
0.326498834;517601;5040289
